Accession,Description,Length,Part_1,Part_2,Part_3
PV838102.1,"107. Human astrovirus 4 isolate CMH-S117-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"107. Human astrovirus 4 isolate CMH-S117-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838101.1,"108. Human astrovirus 1 isolate CMH-ST011-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"108. Human astrovirus 1 isolate CMH-ST011-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838100.1,"109. Human astrovirus 1 isolate CMH-SS27-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"109. Human astrovirus 1 isolate CMH-SS27-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838099.1,"110. Human astrovirus 1 isolate CMH-S070-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"110. Human astrovirus 1 isolate CMH-S070-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838098.1,"111. Human astrovirus 1 isolate CMH-S031-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"111. Human astrovirus 1 isolate CMH-S031-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838097.1,"112. Human astrovirus 1 isolate CMH-S025-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"112. Human astrovirus 1 isolate CMH-S025-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838096.1,"113. Human astrovirus 1 isolate CMH-R008-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"113. Human astrovirus 1 isolate CMH-R008-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838095.1,"114. Human astrovirus 1 isolate CMH-ST052-22/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"114. Human astrovirus 1 isolate CMH-ST052-22/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838094.1,"115. Human astrovirus 1 isolate CMH-SS086-22/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"115. Human astrovirus 1 isolate CMH-SS086-22/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838093.1,"116. Human astrovirus 2 isolate CMH-ST098-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"116. Human astrovirus 2 isolate CMH-ST098-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV791158.1,"117. Human astrovirus isolate YBCDC1 serine protease (ORF1a) gene, complete cds","6,758 bp linear RNA","117. Human astrovirus isolate YBCDC1 serine protease (ORF1a) gene, complete cds",,
PV780444.1,"118. Goose astrovirus 2 isolate JXFC6 ORF2 gene, complete cds","2,115 bp linear RNA","118. Goose astrovirus 2 isolate JXFC6 ORF2 gene, complete cds",,
PV780443.1,"119. Goose astrovirus 2 isolate JXFC5 ORF2 gene, complete cds","2,115 bp linear RNA","119. Goose astrovirus 2 isolate JXFC5 ORF2 gene, complete cds",,
PV780442.1,"120. Goose astrovirus 2 isolate JXXG1 ORF2 gene, complete cds","2,115 bp linear RNA","120. Goose astrovirus 2 isolate JXXG1 ORF2 gene, complete cds",,
PV780441.1,"121. Goose astrovirus 2 isolate JXFC4 ORF2 gene, complete cds","2,115 bp linear RNA","121. Goose astrovirus 2 isolate JXFC4 ORF2 gene, complete cds",,
PV780440.1,"122. Goose astrovirus 2 isolate JXFC3 ORF2 gene, complete cds","2,115 bp linear RNA","122. Goose astrovirus 2 isolate JXFC3 ORF2 gene, complete cds",,
PV780439.1,"123. Goose astrovirus 2 isolate JXFC2 ORF2 gene, complete cds","2,115 bp linear RNA","123. Goose astrovirus 2 isolate JXFC2 ORF2 gene, complete cds",,
PV780438.1,"124. Goose astrovirus 2 isolate JXFC1 ORF2 gene, complete cds","2,115 bp linear RNA","124. Goose astrovirus 2 isolate JXFC1 ORF2 gene, complete cds",,
PV780437.1,"125. Goose astrovirus isolate JX05, complete genome","7,186 bp linear RNA","125. Goose astrovirus isolate JX05, complete genome",,
PV780436.1,"126. Goose astrovirus isolate JX04, complete genome","7,179 bp linear RNA","126. Goose astrovirus isolate JX04, complete genome",,
PV780435.1,"127. Goose astrovirus isolate JX03, complete genome","7,177 bp linear RNA","127. Goose astrovirus isolate JX03, complete genome",,
PV780434.1,"128. Goose astrovirus isolate JX02, complete genome","7,217 bp linear RNA","128. Goose astrovirus isolate JX02, complete genome",,
PP872139.1,129. MAG: Mamastrovirus sp. isolate astro_vt_421 genomic sequence,"2,328 bp linear RNA",129. MAG: Mamastrovirus sp. isolate astro_vt_421 genomic sequence,,
PP872138.1,130. MAG: Mamastrovirus sp. isolate astro_vt_420 genomic sequence,"3,283 bp linear RNA",130. MAG: Mamastrovirus sp. isolate astro_vt_420 genomic sequence,,
PP872137.1,131. MAG: Mamastrovirus sp. isolate astro_vt_419 genomic sequence,"3,683 bp linear RNA",131. MAG: Mamastrovirus sp. isolate astro_vt_419 genomic sequence,,
PP872136.1,132. MAG: Mamastrovirus sp. isolate astro_vt_418 genomic sequence,"3,208 bp linear RNA",132. MAG: Mamastrovirus sp. isolate astro_vt_418 genomic sequence,,
PP872135.1,133. MAG: Mamastrovirus sp. isolate astro_vt_417 genomic sequence,"2,469 bp linear RNA",133. MAG: Mamastrovirus sp. isolate astro_vt_417 genomic sequence,,
PP872134.1,134. MAG: Mamastrovirus sp. isolate astro_vt_416 genomic sequence,"1,005 bp linear RNA",134. MAG: Mamastrovirus sp. isolate astro_vt_416 genomic sequence,,
PP872133.1,135. MAG: Mamastrovirus sp. isolate astro_vt_415 genomic sequence,"2,475 bp linear RNA",135. MAG: Mamastrovirus sp. isolate astro_vt_415 genomic sequence,,
PP872132.1,136. MAG: Mamastrovirus sp. isolate astro_vt_414 genomic sequence,"2,298 bp linear RNA",136. MAG: Mamastrovirus sp. isolate astro_vt_414 genomic sequence,,
PP872131.1,137. MAG: Mamastrovirus sp. isolate astro_vt_413 genomic sequence,"3,538 bp linear RNA",137. MAG: Mamastrovirus sp. isolate astro_vt_413 genomic sequence,,
PP872130.1,138. MAG: Mamastrovirus sp. isolate astro_vt_412 genomic sequence,"2,340 bp linear RNA",138. MAG: Mamastrovirus sp. isolate astro_vt_412 genomic sequence,,
PP872129.1,139. MAG: Mamastrovirus sp. isolate astro_vt_411 genomic sequence,669 bp linear RNA,139. MAG: Mamastrovirus sp. isolate astro_vt_411 genomic sequence,,
PP872128.1,140. MAG: Mamastrovirus sp. isolate astro_vt_410 genomic sequence,"1,428 bp linear RNA",140. MAG: Mamastrovirus sp. isolate astro_vt_410 genomic sequence,,
PP872127.1,141. MAG: Mamastrovirus sp. isolate astro_vt_409 genomic sequence,"1,044 bp linear RNA",141. MAG: Mamastrovirus sp. isolate astro_vt_409 genomic sequence,,
PP872126.1,142. MAG: Mamastrovirus sp. isolate astro_vt_408 genomic sequence,"2,923 bp linear RNA",142. MAG: Mamastrovirus sp. isolate astro_vt_408 genomic sequence,,
PP872125.1,143. MAG: Bastrovirus sp. isolate astro_vt_407 genomic sequence,"2,322 bp linear RNA",143. MAG: Bastrovirus sp. isolate astro_vt_407 genomic sequence,,
PP872124.1,144. MAG: Mamastrovirus sp. isolate astro_vt_406 genomic sequence,"2,478 bp linear RNA",144. MAG: Mamastrovirus sp. isolate astro_vt_406 genomic sequence,,
PP872123.1,145. MAG: Mamastrovirus sp. isolate astro_vt_405 genomic sequence,"3,403 bp linear RNA",145. MAG: Mamastrovirus sp. isolate astro_vt_405 genomic sequence,,
PP872122.1,146. MAG: Mamastrovirus sp. isolate astro_vt_404 genomic sequence,"2,169 bp linear RNA",146. MAG: Mamastrovirus sp. isolate astro_vt_404 genomic sequence,,
PP872121.1,147. MAG: Mamastrovirus sp. isolate astro_vt_403 genomic sequence,"1,425 bp linear RNA",147. MAG: Mamastrovirus sp. isolate astro_vt_403 genomic sequence,,
PP872120.1,148. MAG: Mamastrovirus sp. isolate astro_vt_402 genomic sequence,"1,644 bp linear RNA",148. MAG: Mamastrovirus sp. isolate astro_vt_402 genomic sequence,,
PP872119.1,149. MAG: Mamastrovirus sp. isolate astro_vt_401 genomic sequence,"3,856 bp linear RNA",149. MAG: Mamastrovirus sp. isolate astro_vt_401 genomic sequence,,
PP872118.1,150. MAG: Mamastrovirus sp. isolate astro_vt_400 genomic sequence,"1,077 bp linear RNA",150. MAG: Mamastrovirus sp. isolate astro_vt_400 genomic sequence,,
PP872117.1,151. MAG: Avastrovirus sp. isolate astro_vt_399 genomic sequence,"2,049 bp linear RNA",151. MAG: Avastrovirus sp. isolate astro_vt_399 genomic sequence,,
PP872116.1,152. MAG: Mamastrovirus sp. isolate astro_vt_398 genomic sequence,"1,752 bp linear RNA",152. MAG: Mamastrovirus sp. isolate astro_vt_398 genomic sequence,,
PP872115.1,153. MAG: Mamastrovirus sp. isolate astro_vt_397 genomic sequence,963 bp linear RNA,153. MAG: Mamastrovirus sp. isolate astro_vt_397 genomic sequence,,
PP872114.1,154. MAG: Mamastrovirus sp. isolate astro_vt_396 genomic sequence,777 bp linear RNA,154. MAG: Mamastrovirus sp. isolate astro_vt_396 genomic sequence,,
PP872113.1,155. MAG: Mamastrovirus sp. isolate astro_vt_395 genomic sequence,993 bp linear RNA,155. MAG: Mamastrovirus sp. isolate astro_vt_395 genomic sequence,,
PP872112.1,156. MAG: Mamastrovirus sp. isolate astro_vt_394 genomic sequence,"1,164 bp linear RNA",156. MAG: Mamastrovirus sp. isolate astro_vt_394 genomic sequence,,
PP872111.1,157. MAG: Mamastrovirus sp. isolate astro_vt_393 genomic sequence,"2,226 bp linear RNA",157. MAG: Mamastrovirus sp. isolate astro_vt_393 genomic sequence,,
PP872110.1,158. MAG: Mamastrovirus sp. isolate astro_vt_392 genomic sequence,"1,445 bp linear RNA",158. MAG: Mamastrovirus sp. isolate astro_vt_392 genomic sequence,,
PP872109.1,159. MAG: Mamastrovirus sp. isolate astro_vt_391 genomic sequence,"2,550 bp linear RNA",159. MAG: Mamastrovirus sp. isolate astro_vt_391 genomic sequence,,
PP872108.1,160. MAG: Mamastrovirus sp. isolate astro_vt_390 genomic sequence,"1,410 bp linear RNA",160. MAG: Mamastrovirus sp. isolate astro_vt_390 genomic sequence,,
PP872107.1,161. MAG: Mamastrovirus sp. isolate astro_vt_389 genomic sequence,"1,353 bp linear RNA",161. MAG: Mamastrovirus sp. isolate astro_vt_389 genomic sequence,,
PP872106.1,162. MAG: Mamastrovirus sp. isolate astro_vt_388 genomic sequence,"2,181 bp linear RNA",162. MAG: Mamastrovirus sp. isolate astro_vt_388 genomic sequence,,
PP872105.1,163. MAG: Mamastrovirus sp. isolate astro_vt_387 genomic sequence,753 bp linear RNA,163. MAG: Mamastrovirus sp. isolate astro_vt_387 genomic sequence,,
PP872104.1,164. MAG: Mamastrovirus sp. isolate astro_vt_386 genomic sequence,"2,256 bp linear RNA",164. MAG: Mamastrovirus sp. isolate astro_vt_386 genomic sequence,,
PP872103.1,165. MAG: Mamastrovirus sp. isolate astro_vt_385 genomic sequence,"1,815 bp linear RNA",165. MAG: Mamastrovirus sp. isolate astro_vt_385 genomic sequence,,
PP872102.1,166. MAG: Mamastrovirus sp. isolate astro_vt_384 genomic sequence,903 bp linear RNA,166. MAG: Mamastrovirus sp. isolate astro_vt_384 genomic sequence,,
PP872101.1,167. MAG: Mamastrovirus sp. isolate astro_vt_383 genomic sequence,633 bp linear RNA,167. MAG: Mamastrovirus sp. isolate astro_vt_383 genomic sequence,,
PP872100.1,168. MAG: Mamastrovirus sp. isolate astro_vt_382 genomic sequence,"1,116 bp linear RNA",168. MAG: Mamastrovirus sp. isolate astro_vt_382 genomic sequence,,
PP872099.1,169. MAG: Mamastrovirus sp. isolate astro_vt_381 genomic sequence,"2,541 bp linear RNA",169. MAG: Mamastrovirus sp. isolate astro_vt_381 genomic sequence,,
PP872098.1,170. MAG: Mamastrovirus sp. isolate astro_vt_380 genomic sequence,"3,958 bp linear RNA",170. MAG: Mamastrovirus sp. isolate astro_vt_380 genomic sequence,,
PP872097.1,171. MAG: Mamastrovirus sp. isolate astro_vt_379 genomic sequence,"2,625 bp linear RNA",171. MAG: Mamastrovirus sp. isolate astro_vt_379 genomic sequence,,
PP872096.1,172. MAG: Mamastrovirus sp. isolate astro_vt_378 genomic sequence,"2,628 bp linear RNA",172. MAG: Mamastrovirus sp. isolate astro_vt_378 genomic sequence,,
PP872095.1,173. MAG: Mamastrovirus sp. isolate astro_vt_377 genomic sequence,"1,365 bp linear RNA",173. MAG: Mamastrovirus sp. isolate astro_vt_377 genomic sequence,,
PP872094.1,174. MAG: Mamastrovirus sp. isolate astro_vt_376 genomic sequence,"2,493 bp linear RNA",174. MAG: Mamastrovirus sp. isolate astro_vt_376 genomic sequence,,
PP872093.1,175. MAG: Mamastrovirus sp. isolate astro_vt_375 genomic sequence,"1,257 bp linear RNA",175. MAG: Mamastrovirus sp. isolate astro_vt_375 genomic sequence,,
PP872092.1,176. MAG: Mamastrovirus sp. isolate astro_vt_374 genomic sequence,"1,464 bp linear RNA",176. MAG: Mamastrovirus sp. isolate astro_vt_374 genomic sequence,,
PP872091.1,177. MAG: Mamastrovirus sp. isolate astro_vt_373 genomic sequence,"1,821 bp linear RNA",177. MAG: Mamastrovirus sp. isolate astro_vt_373 genomic sequence,,
PP872090.1,178. MAG: Mamastrovirus sp. isolate astro_vt_372 genomic sequence,"2,328 bp linear RNA",178. MAG: Mamastrovirus sp. isolate astro_vt_372 genomic sequence,,
PP872089.1,179. MAG: Mamastrovirus sp. isolate astro_vt_371 genomic sequence,"1,002 bp linear RNA",179. MAG: Mamastrovirus sp. isolate astro_vt_371 genomic sequence,,
PP872088.1,180. MAG: Mamastrovirus sp. isolate astro_vt_370 genomic sequence,"2,640 bp linear RNA",180. MAG: Mamastrovirus sp. isolate astro_vt_370 genomic sequence,,
PP872087.1,181. MAG: Mamastrovirus sp. isolate astro_vt_369 genomic sequence,"2,181 bp linear RNA",181. MAG: Mamastrovirus sp. isolate astro_vt_369 genomic sequence,,
PP872086.1,182. MAG: Mamastrovirus sp. isolate astro_vt_368 genomic sequence,"2,067 bp linear RNA",182. MAG: Mamastrovirus sp. isolate astro_vt_368 genomic sequence,,
PP872085.1,183. MAG: Mamastrovirus sp. isolate astro_vt_367 genomic sequence,"3,430 bp linear RNA",183. MAG: Mamastrovirus sp. isolate astro_vt_367 genomic sequence,,
PP872084.1,184. MAG: Mamastrovirus sp. isolate astro_vt_366 genomic sequence,"3,862 bp linear RNA",184. MAG: Mamastrovirus sp. isolate astro_vt_366 genomic sequence,,
PP872083.1,185. MAG: Mamastrovirus sp. isolate astro_vt_365 genomic sequence,777 bp linear RNA,185. MAG: Mamastrovirus sp. isolate astro_vt_365 genomic sequence,,
PP872082.1,186. MAG: Mamastrovirus sp. isolate astro_vt_364 genomic sequence,"2,004 bp linear RNA",186. MAG: Mamastrovirus sp. isolate astro_vt_364 genomic sequence,,
PP872081.1,187. MAG: Bastrovirus sp. isolate astro_vt_363 genomic sequence,"5,359 bp linear RNA",187. MAG: Bastrovirus sp. isolate astro_vt_363 genomic sequence,,
PP872080.1,188. MAG: Mamastrovirus sp. isolate astro_vt_362 genomic sequence,"2,490 bp linear RNA",188. MAG: Mamastrovirus sp. isolate astro_vt_362 genomic sequence,,
PP872079.1,189. MAG: Bastrovirus sp. isolate astro_vt_361 genomic sequence,"5,476 bp linear RNA",189. MAG: Bastrovirus sp. isolate astro_vt_361 genomic sequence,,
PP872078.1,190. MAG: Mamastrovirus sp. isolate astro_vt_360 genomic sequence,"2,625 bp linear RNA",190. MAG: Mamastrovirus sp. isolate astro_vt_360 genomic sequence,,
PP872077.1,191. MAG: Mamastrovirus sp. isolate astro_vt_359 genomic sequence,"2,469 bp linear RNA",191. MAG: Mamastrovirus sp. isolate astro_vt_359 genomic sequence,,
PP872076.1,192. MAG: Mamastrovirus sp. isolate astro_vt_358 genomic sequence,"2,475 bp linear RNA",192. MAG: Mamastrovirus sp. isolate astro_vt_358 genomic sequence,,
PP872075.1,193. MAG: Mamastrovirus sp. isolate astro_vt_357 genomic sequence,"2,595 bp linear RNA",193. MAG: Mamastrovirus sp. isolate astro_vt_357 genomic sequence,,
PP872074.1,194. MAG: Mamastrovirus sp. isolate astro_vt_356 genomic sequence,"1,134 bp linear RNA",194. MAG: Mamastrovirus sp. isolate astro_vt_356 genomic sequence,,
PP872073.1,195. MAG: Astroviridae sp. isolate astro_vt_355 genomic sequence,"5,194 bp linear RNA",195. MAG: Astroviridae sp. isolate astro_vt_355 genomic sequence,,
PP872072.1,196. MAG: Mamastrovirus sp. isolate astro_vt_354 genomic sequence,939 bp linear RNA,196. MAG: Mamastrovirus sp. isolate astro_vt_354 genomic sequence,,
PP872071.1,197. MAG: Mamastrovirus sp. isolate astro_vt_353 genomic sequence,"1,536 bp linear RNA",197. MAG: Mamastrovirus sp. isolate astro_vt_353 genomic sequence,,
PP872070.1,198. MAG: Mamastrovirus sp. isolate astro_vt_352 genomic sequence,"1,458 bp linear RNA",198. MAG: Mamastrovirus sp. isolate astro_vt_352 genomic sequence,,
PP872069.1,199. MAG: Mamastrovirus sp. isolate astro_vt_351 genomic sequence,"2,731 bp linear RNA",199. MAG: Mamastrovirus sp. isolate astro_vt_351 genomic sequence,,
PP872068.1,200. MAG: Mamastrovirus sp. isolate astro_vt_350 genomic sequence,"2,217 bp linear RNA",200. MAG: Mamastrovirus sp. isolate astro_vt_350 genomic sequence,,
PP872067.1,201. MAG: Mamastrovirus sp. isolate astro_vt_349 genomic sequence,"2,478 bp linear RNA",201. MAG: Mamastrovirus sp. isolate astro_vt_349 genomic sequence,,
PP872066.1,202. MAG: Mamastrovirus sp. isolate astro_vt_348 genomic sequence,"2,181 bp linear RNA",202. MAG: Mamastrovirus sp. isolate astro_vt_348 genomic sequence,,
PP872065.1,203. MAG: Bastrovirus sp. isolate astro_vt_347 genomic sequence,"3,079 bp linear RNA",203. MAG: Bastrovirus sp. isolate astro_vt_347 genomic sequence,,
PP872064.1,204. MAG: Mamastrovirus sp. isolate astro_vt_346 genomic sequence,"3,184 bp linear RNA",204. MAG: Mamastrovirus sp. isolate astro_vt_346 genomic sequence,,
PP872063.1,205. MAG: Mamastrovirus sp. isolate astro_vt_345 genomic sequence,"1,014 bp linear RNA",205. MAG: Mamastrovirus sp. isolate astro_vt_345 genomic sequence,,
PP872062.1,206. MAG: Mamastrovirus sp. isolate astro_vt_344 genomic sequence,"1,977 bp linear RNA",206. MAG: Mamastrovirus sp. isolate astro_vt_344 genomic sequence,,
PP872061.1,207. MAG: Mamastrovirus sp. isolate astro_vt_343 genomic sequence,"2,821 bp linear RNA",207. MAG: Mamastrovirus sp. isolate astro_vt_343 genomic sequence,,
PP872060.1,208. MAG: Mamastrovirus sp. isolate astro_vt_342 genomic sequence,"1,170 bp linear RNA",208. MAG: Mamastrovirus sp. isolate astro_vt_342 genomic sequence,,
PP872059.1,209. MAG: Mamastrovirus sp. isolate astro_vt_341 genomic sequence,"1,713 bp linear RNA",209. MAG: Mamastrovirus sp. isolate astro_vt_341 genomic sequence,,
PP872058.1,210. MAG: Mamastrovirus sp. isolate astro_vt_340 genomic sequence,849 bp linear RNA,210. MAG: Mamastrovirus sp. isolate astro_vt_340 genomic sequence,,
PP872057.1,211. MAG: Mamastrovirus sp. isolate astro_vt_339 genomic sequence,705 bp linear RNA,211. MAG: Mamastrovirus sp. isolate astro_vt_339 genomic sequence,,
PP872056.1,212. MAG: Bastrovirus sp. isolate astro_vt_338 genomic sequence,"5,476 bp linear RNA",212. MAG: Bastrovirus sp. isolate astro_vt_338 genomic sequence,,
PP872055.1,213. MAG: Mamastrovirus sp. isolate astro_vt_337 genomic sequence,"2,457 bp linear RNA",213. MAG: Mamastrovirus sp. isolate astro_vt_337 genomic sequence,,
PP872054.1,214. MAG: Mamastrovirus sp. isolate astro_vt_336 genomic sequence,"1,812 bp linear RNA",214. MAG: Mamastrovirus sp. isolate astro_vt_336 genomic sequence,,
PP872053.1,215. MAG: Mamastrovirus sp. isolate astro_vt_335 genomic sequence,"2,493 bp linear RNA",215. MAG: Mamastrovirus sp. isolate astro_vt_335 genomic sequence,,
